,size
Ag1 H1 O2,0.7625
Er1 Cr1 B4,1.0916666666666666
V2 Zn3 P4 O18,0.798148148148148
Ca1 Cu3 P3 O13,0.8325
Ca1 Co1 F4,0.8583333333333334
Mg1 W1 F4,0.8083333333333333
Mn1 Zn1 F4,0.7916666666666666
Ca1 Cu2 P4 O14,0.8047619047619048
Ta1 Zn2 Co1 O6,0.91
Mg1 Mn6 O12,0.8999999999999999
Pt1 N2,0.8833333333333333
Fe13 Si2 Sb2 O28,0.891111111111111
Zn1 Si1 O3,0.8500000000000001
Li1 V3 P3 O13,0.8150000000000001
Ba2 Y1 Cu3 O6,1.1458333333333333
Pu2 W2 C3,1.1857142857142857
Ba1 In2 Pd1,1.6625
Mo1 W1 S4,1.1333333333333333
Te4 Mo3 W1 S4,1.275
Mo1 W1 Se3 S1,1.2083333333333333
Ca2 Co1 N2,1.25
Hf1 Mg6 V1 O8,1.04375
Mg30 V1 Sn1 O32,1.046875
Li1 Mg30 Al1 O32,1.0453125
Cs1 Rb1 Mg30 O31,1.0880952380952378
Yb1 Al2 Si2,1.29
Mg30 Ti1 Co1 O32,1.04609375
Na1 P1 F6,0.725
Y3 Ga1 C1,1.48
Mg1 O1,1.05
Gd1 Ni4 Au1,1.425
Mg6 Si5,1.3181818181818181
Rb2 Cr2 O5,1.1666666666666665
Ta1 P1 S1,1.15
Ce1 Al4 Si2 Ir1,1.3
Pr1 Co1 Ge2,1.425
K3 Na1 H4,1.175
Y1 Mg1 Ni4 H4,0.9700000000000001
K1 Sn1 N3,1.12
Mn2 H1 O4,0.7785714285714285
Ce1 Se2,1.3833333333333333
Ca1 Ga2 Ni1,1.4375
Ba4 Sr4 Co3 Cu5 O20,1.0944444444444443
Ce1 Lu1 S3,1.32
Y2 Pd1 Au1,1.5875
Li2 Zn1 Ag1,1.4625
Sr2 Zn1 Sn1,1.7
Zr1 As1 Ir1,1.3499999999999999
Zr1 Sn1,1.5
Hf1 Mg1,1.525
Mo1 P1 Ru1,1.25
Ba2 Tl1 Ag1,1.9499999999999997
Al2 Fe1 Pt1,1.3125
Cs1 K2 As1,2.0375
Li1 Sc2 Tl1,1.6375000000000002
As1,1.15
Cr1 N2,0.8999999999999999
Ga1 Cu1 Br3,1.22
Sr2 Pd1 Pt1,1.6875
Ta1 V1 W2,1.375
Na1 Mg6 Mo1,1.53125
Ce1 Mg6 Sb1,1.5374999999999999
Zn2 Ni11 O13,0.9750000000000001
Nb10 Pb14 O39,1.0015873015873016
Cu2 Cl1 O3,0.9166666666666667
Zn1 P2,1.1166666666666667
Bi14 Mo5,1.5605263157894735
Li5 Cl3 O1,1.2055555555555555
K3 As1 I6,1.615
K2 Rb1 Ga1 I6,1.645
K2 Nb1 Tl1 F6,1.0750000000000002
Cs2 Rb1 Tl1 Br6,1.635
K2 La1 Cu1 Cl6,1.37
Cs2 Tl1 Bi1 Br6,1.56
Ta2 Be1,1.3166666666666664
K2 La4 O7,1.2615384615384615
B1 P1 O4,0.7083333333333333
Li7 Mn5 O12,1.0145833333333334
Li4 Mn1 Co2 O7,1.0071428571428571
Na4 Mn2 C4 S1 O16,0.8666666666666666
Li4 V3 P8 O29,0.8011363636363635
Li3 Cu4 Sb1 O8,1.0
Li11 Fe5 O2 F22,0.87875
Bi1 O1 F1,0.8999999999999999
V1 Ir1,1.35
Ba1 Cd1 Ge1,1.65
Co2 Ag3 Sb1 O6,1.0458333333333334
K1 Au1 Br4 O2,1.16875
Ag1 Ge3,1.3375
Ba1 Zn1 O3,1.06
Dy1 Lu1 Rh2,1.55
Cs1 Sm1 O3,1.25
Er2 Al1 Cd1,1.575
Eu2 Ag1 Pb1,1.7750000000000001
Eu1 In1 O3,1.04
Ba1 Mg149,1.5043333333333333
Hg1 F3,0.75
In1,1.55
Li1 Pr3,1.7500000000000002
Np3 Hg1,1.6875
Pa1 Ga3,1.425
Pm1 Sm1 Ru2,1.5750000000000002
Pr3 Zr1,1.7750000000000001
Sn3 Ge1,1.4
Zn3 Ni1,1.35
Zn1 Ag1,1.475
Sn1 Pb1 S3,1.25
Ti1 Cu1 Hg2,1.4375
Tm1 Cu1 S2,1.275
Ca2 Cr1 Sb1 O6,1.005
Dy2 Mn12 P7,1.2999999999999998
Eu2 Co12 P7,1.280952380952381
Sm4 Ni1 S7,1.3125
Sm1 B1 N2,1.0
Cu1 C3 N2 O5,0.7045454545454545
Dy3 Ga1 Co1 S7,1.2416666666666667
Hg1 C1 N2 Cl2 O1,0.8714285714285714
Sc1 H3 C3 O6,0.6192307692307693
Rb1 Mn1 Cl3 O2,1.1357142857142857
Mn6 Ni16 Ge7,1.3362068965517242
Na2 Y2 B2 Te1 O10,0.9588235294117649
Na2 Sc1 Si1 O5,1.0333333333333332
Na12 Mn3 S6 O24 F8,0.9471698113207547
Hf3 Ni1 Sb7,1.4681818181818183
K6 W4 C1 O29,0.9175
Ag2 Pd1 N4 O8,0.8
K1 La1 H2 S2 O9,0.8033333333333333
Ca5 I2 O12,0.9999999999999999
Ba1 Ce1 Sn2 S6,1.29
Rb2 Mn1 H12 S2 O14,0.6290322580645161
Na2 W1 O6,0.95
Rb1 Th2 F9,0.8708333333333333
Cu1 As12 P4 S12 Cl1,1.0716666666666668
Sb1 N1 Cl8 O1,0.9727272727272728
Li3 V1 H16 O12,0.528125
Rb2 Mo3 Se1 O12,0.9666666666666666
Eu3 Ge2 As4,1.4055555555555554
Ca1 V1 Si4 O14,0.7975000000000001
Th1 V2 Se1 O9,0.85
U1 Cu1 Mo12 O54,0.7779411764705882
Cu3 B6 H2 O13,0.7270833333333333
Ca1 Al2 Si3 H6 O13,0.676
Pr1 Co3 P2,1.3166666666666667
Bi1 Ru5 C18 O18,0.75
La4 Tm11 S22,1.3256756756756758
B2 H20 C6 N3 Cl5,0.4958333333333333
Si1 H12 C8 N8 O16,0.5444444444444445
Mo1 N2 Cl5 O1,0.9277777777777778
Zn1 I6,1.3928571428571428
K2 Tc1 Br6,1.4055555555555554
Tl2 Cu1 Se2,1.49
Zr1 Ni1 As1,1.3499999999999999
Zr9 W4 O3,1.3218750000000001
Tb1 Cd1 Pd1,1.5666666666666664
Te1 Br4,1.2
Tb2 S3 O20,0.74
Sm1 Nb1 O2,1.125
Sm2 S3 O12,0.8176470588235294
Rb1 Y1 Se1 Cl2 O3,1.1375000000000002
Rb1 Gd3 F10,0.9107142857142856
Pu4 Sb3,1.6214285714285714
Pd1 Pb2 F6,0.8888888888888888
Na3 Er1 Br6,1.405
La12 Ni6 Pb1,1.7526315789473683
Rb1 Pr2 Cl7,1.3050000000000002
Hf6 C1 Cl14,1.1428571428571428
Hf1 Te7 Se1 Cl6,1.2333333333333334
Gd1 Ag1 W2 O8,0.9083333333333332
Cu1 Sn1 Pd2,1.4
Er3 Tl1 S6,1.315
Zr3 Se2,1.39
Zn13 Fe1,1.3535714285714289
Cs2 Re3 Se4 I3,1.5041666666666669
Y1 Mn1 Co1,1.5166666666666666
Ti1 Ga1 Ni6,1.35
Tm6 Ga17 Pd5,1.4142857142857141
Te1 Pb2 Se1,1.5375
Th1 Al2 Co3,1.3916666666666666
Tb1 Cu2 Ni3,1.4166666666666667
Tb9 Ga5 S21,1.2357142857142858
Ta3 Al1 B8,1.0333333333333332
Sr1 C1 O3,0.9
Sr2 Nd1 Mn2 O7,1.0708333333333333
Ta2 Ti2 Ni2 C1,1.3
Sm1 U1 N2,1.225
Sm1 U1 Al4,1.4333333333333331
Sm2 Ge3,1.4900000000000002
Sr3 U6 O28,0.9
Sb4 Te3 Se3,1.345
Rb1 Ti3 Al1 O8,0.9692307692307692
Pr1 Y1 Co6 Ni4,1.4291666666666667
Nb4 Cu1 C2 S4,1.1409090909090907
Nd1 Ho1 Fe14 B1,1.414705882352941
Na1 Mo2 P4 O14,0.8142857142857143
Na1 Fe6 H12 S4 O29,0.6653846153846155
Na2 Ca2 Si3 O9,0.9937499999999999
Na3 Mg5 Si8 H3 O24,0.8569767441860466
Mg4 Fe1 O5,1.04
Li1 Sb1 W1 O7,0.845
Mg3 Al1 Si3 O12,0.8552631578947368
La1 Nd1 Al4,1.4666666666666666
La3 Nd1 Zr4 O14,1.0136363636363637
La1 Mn1 Cu1 Ge2,1.44
Li2 H1 N1,0.95
La8 Bi3 Sb3,1.7678571428571426
La3 Pr1 Mn4 O12,1.025
La2 Mn3 Fe1 Si4,1.3900000000000001
K1 Fe1 Cu1 S2,1.3900000000000001
K2 Mg1 Zr1 Mo4 O16,0.9520833333333332
K5 Lu1 Hf1 Mo6 O24,1.010810810810811
Fe1 Cu1,1.375
Fe3 Ni1 As4,1.2687499999999998
Cu6 Sb1 As1,1.3375000000000001
K2 Na2 Ca4 Mg15 Si24 O72,0.9016806722689075
Cs1 Si2 H1 O5,0.8944444444444444
Cr1 Si1 Mo1,1.3166666666666664
Cd3 Fe1 S4,1.25625
Cr2 Ir2 C1,1.24
Ce2 V1 Fe1 O6,1.0050000000000001
Ca4 Mg1 Al2 Si3 O14,0.9541666666666668
Ca4 Co1 Si8 Ni3 O24,0.8950000000000001
Ba3 Sr1 Mo4 O16,0.9937499999999999
Fe2 C3 N6,0.8
Ca1 Mn4 N4,1.111111111111111
Sr4 Sn1 N4,1.3388888888888886
Fe1 C6 N9,0.715625
Ca9 Fe2 N8,1.2736842105263158
Ca4 Se1 N4,1.2166666666666666
In2 Ga1 N3,1.0583333333333333
Ru2 Pb3 N4,1.1777777777777776
Si1 Ni1 N2,0.9375
Mg1 Si1,1.3
Ca3 W2 N4,1.1888888888888887
Mg2 Mn2 Si3 O12,0.8578947368421052
Sc1 Cu1 Sn1,1.4666666666666668
Li2 Fe2 Si3 O9,0.8999999999999999
Ca1 Cd2,1.6333333333333333
Cd1 Cu2 Sn1 Se4,1.2875
Cd2 Re2 O7,0.9090909090909092
Dy1 Zn1 Rh1,1.4833333333333332
Ca1 Ga4 O7,0.9333333333333333
Sr2 Nb1 N3,1.2333333333333332
Fe15 Co1,1.396875
Sr4 Al6 W1 O16,0.9796296296296296
Na2 Ti1 F6,0.8888888888888888
Pr2 In1,1.75
Gd4 Sb3,1.65
Ni2 P1,1.2333333333333334
Tm2 In1 Pd2,1.5700000000000003
Yb1 In1 Pd1,1.5666666666666664
Na4 W1 O5,1.155
Nb5 Ge4,1.3611111111111112
Tl5 Se3,1.61875
Gd1 Ge2 Pd2,1.42
Ba2 Mg1 Re1 O6,1.0750000000000002
Ni2 Ge1 O4,0.907142857142857
Fe1 Cu2 Sn1 S4,1.19375
Nd1 Cl3,1.2125
Ce1 Ge3 Pd5,1.4
